City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Kiunga,PG,88.81,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
482,Siocon,PH,84.7,overcast clouds,7.7061,122.1353,ABS Hotel
484,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
486,Charters Towers,AU,88.29,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
489,Matara,LK,81.84,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
490,Kirakira,SB,81.45,overcast clouds,-10.4544,161.9205,SanBiz Lodge
491,West Bay,KY,77.07,few clouds,19.3667,-81.4167,Calypso Cove
492,Cap Malheureux,MU,82.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
493,Lorengau,PG,84.02,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
496,Banjar,ID,85.91,broken clouds,-8.19,114.9675,The Hamsa Resort
502,Ahuimanu,US,76.75,clear sky,21.4447,-157.8378,Paradise Bay Resort
505,Buluang,PH,82.9,overcast clouds,13.3068,123.3425,Enon Beach Resort
509,Port Macquarie,AU,78.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
510,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
514,Tirumullaivasal,IN,80.29,broken clouds,11.2333,79.8333,Almupaark complex
517,Ratnagiri,IN,78.21,clear sky,16.9833,73.3,Hotel Landmark
520,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
530,Uribia,CO,76.8,clear sky,11.7139,-72.266,Hotel Uribia
535,Sungairaya,ID,84.27,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
536,Kieta,PG,83.55,light rain,-6.2167,155.6333,Uruna Bay Retreat
542,Morondava,MG,78.64,few clouds,-20.2833,44.2833,La Case Bambou
543,Trairi,BR,77.81,scattered clouds,-3.2778,-39.2689,janelas do mar
545,Samarai,PG,83.48,broken clouds,-10.6167,150.6667,Nuli Sapi
557,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
561,Kampli,IN,77.07,few clouds,15.4,76.6167,Government Hostel Kampli
562,Dhidhdhoo,MV,80.96,broken clouds,6.8833,73.1,Dhidhoo beach
584,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
585,Kudahuvadhoo,MV,81.45,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
602,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
615,Bousse,BF,76.57,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
622,Bubaque,GW,77.95,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
630,Palu,ID,80.96,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
634,Galle,LK,80.31,broken clouds,6.0367,80.217,Amangalla
635,Barra Dos Coqueiros,BR,82.42,scattered clouds,-10.9089,-37.0386,Jangadeiro
636,Bhatkal,IN,81.03,scattered clouds,13.9667,74.5667,Nilawar Palace
644,Kawalu,ID,84.0,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
645,Passo De Camaragibe,BR,76.55,broken clouds,-9.2368,-35.4901,Chácara vovó candinha
647,Davila,PH,82.38,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
649,Kralendijk,BQ,78.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
650,Ponnani,IN,79.92,clear sky,10.767,75.9252,Rouba Residency
656,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
667,Dawei,MM,89.42,broken clouds,14.0833,98.2,Hotel Dawei
669,Ugoofaaru,MV,81.14,overcast clouds,5.6667,73.0,Ungoofaaru Inn
672,Voh,NC,87.89,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
674,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
679,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
682,Mahina,PF,80.37,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
684,Nelson Bay,AU,83.28,broken clouds,-32.7167,152.15,Mantra Nelson Bay
689,Bathurst,AU,86.83,broken clouds,-33.4166,149.5806,Bathurst Motor Inn
691,Cockburn Town,TC,77.59,clear sky,21.4612,-71.1419,Osprey Beach Hotel
692,Amahai,ID,80.28,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
695,Kilakarai,IN,81.12,scattered clouds,9.2333,78.7833,Kilakarai Home Stays
700,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
701,Shwebo,MM,75.85,clear sky,22.5667,95.7,MOON SHINE Guest House
