City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,Waipawa,-41.4122,175.5153,61.45,69,100,13.24,NZ,2022-02-14 01:41:55
240,Broken Hill,-31.95,141.4333,92.91,18,40,11.5,AU,2022-02-14 01:38:32
241,Bahia Blanca,-38.7196,-62.2724,73.83,27,0,12.15,AR,2022-02-14 01:41:56
242,Sao Domingos,-13.3983,-46.3183,70.09,91,98,2.04,BR,2022-02-14 01:41:57
243,Lata,40.1629,-8.3327,53.82,94,33,3.0,PT,2022-02-14 01:41:58
244,Jacareacanga,-6.2222,-57.7528,73.96,98,100,2.06,BR,2022-02-14 01:41:58
245,Clyde River,70.4692,-68.5914,-14.57,70,100,23.02,CA,2022-02-14 01:41:06
246,Norrtalje,59.758,18.705,38.07,91,100,9.19,SE,2022-02-14 01:41:59
247,Agirish,61.9247,63.0231,-13.56,100,96,0.63,RU,2022-02-14 01:41:59
248,Owando,-0.4819,15.8999,70.88,94,61,3.09,CG,2022-02-14 01:42:00
249,Tiznit,29.5833,-9.5,52.41,50,0,3.51,MA,2022-02-14 01:42:00
250,Kununurra,-15.7667,128.7333,75.18,88,36,10.36,AU,2022-02-14 01:38:27
251,Asau,46.4333,26.4,28.96,80,97,3.96,RO,2022-02-14 01:42:01
252,Touros,-5.1989,-35.4608,81.5,75,5,13.02,BR,2022-02-14 01:42:01
253,Zhigansk,66.7697,123.3711,-32.57,98,56,1.77,RU,2022-02-14 01:38:51
254,Davenda,53.5556,119.317,-1.32,87,100,3.0,RU,2022-02-14 01:42:02
255,Najran,17.4924,44.1277,48.85,51,23,1.88,SA,2022-02-14 01:42:02
256,Eyl,7.9803,49.8164,71.74,73,57,11.77,SO,2022-02-14 01:42:03
257,Muros,42.7762,-9.0603,53.24,94,9,18.03,ES,2022-02-14 01:42:03
258,Dombarovskiy,50.7587,59.5386,7.2,96,47,10.47,RU,2022-02-14 01:42:04
259,Pierre,44.3683,-100.351,43.86,45,0,13.8,US,2022-02-14 01:42:04
260,Kiruna,67.8557,20.2251,0.52,85,5,6.91,SE,2022-02-14 01:42:05
261,Sembe,1.6481,14.5806,69.58,81,100,2.66,CG,2022-02-14 01:42:06
262,Cidreira,-30.1811,-50.2056,68.77,88,24,2.75,BR,2022-02-14 01:42:06
263,Belmonte,-15.8631,-38.8828,77.5,88,91,6.29,BR,2022-02-14 01:42:07
264,Forest Grove,45.5198,-123.1107,57.25,64,0,3.0,US,2022-02-14 01:42:07
265,Montemorelos,25.2,-99.8167,52.12,39,100,4.9,MX,2022-02-14 01:42:08
266,Tautira,-17.7333,-149.15,87.82,77,75,17.47,PF,2022-02-14 01:42:08
267,Dudinka,69.4058,86.1778,-16.85,91,16,6.6,RU,2022-02-14 01:42:08
268,Sabang,5.8933,95.3214,82.26,72,36,10.96,ID,2022-02-14 01:40:45
269,Lodwar,3.1191,35.5973,80.17,43,7,4.47,KE,2022-02-14 01:42:09
270,Pozo Colorado,-23.4923,-58.7972,75.31,60,3,4.83,PY,2022-02-14 01:42:10
271,Tombouctou,20.0,-3.0,58.26,26,50,11.92,ML,2022-02-14 01:42:10
272,Shimoda,34.6667,138.95,44.96,66,100,17.65,JP,2022-02-14 01:43:11
273,Pevek,69.7008,170.3133,-15.95,97,100,8.41,RU,2022-02-14 01:43:11
274,Cherskiy,68.75,161.3,-21.87,97,95,6.29,RU,2022-02-14 01:41:24
275,Bowen,-20.0167,148.2333,82.62,63,13,21.52,AU,2022-02-14 01:43:12
276,Lompoc,34.6391,-120.4579,73.08,79,0,6.91,US,2022-02-14 01:39:24
277,Pacific Grove,36.6177,-121.9166,71.8,83,100,5.75,US,2022-02-14 01:43:13
278,Yaan,7.3833,8.5667,78.73,14,97,3.83,NG,2022-02-14 01:43:13
279,Xiaoweizhai,26.1903,107.5125,44.62,77,74,3.4,CN,2022-02-14 01:43:14
280,Nagorsk,59.3172,50.8078,0.12,100,99,2.71,RU,2022-02-14 01:43:14
281,Berlevag,70.8578,29.0864,20.75,90,100,7.29,NO,2022-02-14 01:43:15
282,Teguldet,57.3064,88.1667,0.68,96,100,10.09,RU,2022-02-14 01:43:15
283,Kavaratti,10.5669,72.642,80.6,71,0,7.05,IN,2022-02-14 01:43:16
