City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Kununurra,AU,-15.7667,128.7333,78.78,89,66,4.61,broken clouds
70,Nikolskoye,RU,59.7035,30.7861,37.87,92,100,11.3,overcast clouds
71,Cairns,AU,-16.9167,145.7667,90.07,64,40,24.16,light rain
72,Rikitea,PF,-23.1203,-134.9692,78.91,71,2,14.07,clear sky
73,Kaeo,NZ,-35.1,173.7833,76.32,57,12,5.19,few clouds
74,Hobart,AU,-42.8794,147.3294,72.01,63,100,11.5,overcast clouds
75,Tucuman,AR,-26.8241,-65.2226,60.8,94,0,6.91,clear sky
76,Shreveport,US,32.5251,-93.7502,46.45,53,0,4.61,clear sky
77,Bor,RU,56.3567,44.0669,26.53,92,100,9.89,snow
78,Busselton,AU,-33.65,115.3333,87.4,40,0,5.1,clear sky
79,Malanje,AO,-9.5402,16.341,64.02,98,100,3.83,light rain
80,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.82,98,94,2.01,overcast clouds
81,Baykit,RU,61.67,96.37,-6.9,94,47,2.95,scattered clouds
82,Richards Bay,ZA,-28.783,32.0377,75.9,89,100,13.53,light rain
83,Dingle,PH,10.9995,122.6711,85.59,64,100,11.43,overcast clouds
84,Wanning,CN,18.8003,110.3967,68.41,90,100,9.48,overcast clouds
85,Chicama,PE,-7.8447,-79.1469,68.54,69,77,4.07,broken clouds
86,San Cristobal,VE,7.7669,-72.225,73.58,77,96,1.5,overcast clouds
87,Meulaboh,ID,4.1363,96.1285,84.34,67,96,2.46,overcast clouds
88,Kalemie,CD,-5.9475,29.1947,66.76,87,88,6.04,overcast clouds
89,Oga,IT,46.4631,10.347,22.28,97,39,4.18,scattered clouds
90,Bambous Virieux,MU,-20.3428,57.7575,82.22,94,75,9.22,light rain
91,Ilulissat,GL,69.2167,-51.1,6.82,72,100,13.8,light snow
92,Sindor,RU,62.8629,51.8905,2.52,99,100,4.5,overcast clouds
93,Marystown,CA,47.1666,-55.1483,33.85,100,100,8.86,overcast clouds
94,Mount Gambier,AU,-37.8333,140.7667,76.91,47,13,14.97,few clouds
95,Ribeira Grande,PT,38.5167,-28.7,57.88,68,90,2.91,overcast clouds
96,Fairbanks,US,64.8378,-147.7164,7.61,81,100,5.75,light snow
97,Butaritari,KI,3.0707,172.7902,81.3,77,62,12.66,light rain
98,Mahibadhoo,MV,3.7833,72.9667,81.68,74,62,6.58,broken clouds
99,Starozhilovo,RU,54.2254,39.916,19.04,87,86,12.24,overcast clouds
100,Villacarrillo,ES,38.1156,-3.0848,48.0,90,100,6.15,overcast clouds
101,Ciudad Bolivar,VE,8.1222,-63.5497,76.93,69,73,12.88,broken clouds
102,Olafsvik,IS,64.8945,-23.7142,33.49,67,98,12.55,snow
103,Cape Town,ZA,-33.9258,18.4232,68.41,78,20,20.71,few clouds
104,Tasiilaq,GL,65.6145,-37.6368,23.16,85,100,25.05,overcast clouds
105,Auki,SB,-8.7676,160.7034,78.22,88,100,3.69,light rain
106,Vaini,TO,-21.2,-175.2,86.16,74,40,12.66,scattered clouds
107,Bengkulu,ID,-3.8004,102.2655,84.92,63,78,5.06,broken clouds
108,Fort Nelson,CA,58.8053,-122.7002,2.79,78,75,4.61,broken clouds
109,Biak,ID,-0.9131,122.8766,82.71,67,67,2.1,broken clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,75,10.36,broken clouds
111,Marawi,PH,7.9986,124.2928,73.65,50,74,4.94,broken clouds
112,Lakatoro,VU,-16.0999,167.4164,85.17,70,90,13.49,overcast clouds
113,Qaanaaq,GL,77.484,-69.3632,-7.94,68,77,7.67,broken clouds
114,Cidreira,BR,-30.1811,-50.2056,68.67,86,20,6.46,few clouds
115,Georgetown,MY,5.4112,100.3354,87.89,72,20,4.61,few clouds
116,Dongsheng,CN,39.8161,109.9776,16.65,44,100,7.78,overcast clouds
117,Zhuanghe,CN,39.7008,122.9911,26.4,54,85,13.71,overcast clouds
118,Morada Nova,BR,-5.1067,-38.3725,73.71,95,73,3.44,broken clouds
